Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.975,0.0,0.975,0.9778,0.9749,0.9625,0.964,SVM - Radial Kernel,0.65
0.9583,0.0,0.9583,0.9611,0.9582,0.9374,0.9389,Logistic Regression,18.17
0.9583,0.9867,0.9583,0.9632,0.9581,0.9374,0.9401,K Neighbors Classifier,7.78
0.9583,0.9969,0.9583,0.9611,0.9582,0.9374,0.9389,Naive Bayes,9.75
0.9583,0.9994,0.9583,0.9611,0.9582,0.9374,0.9389,Gaussian Process Classifier,1.09
0.9583,0.0,0.9583,0.9632,0.9581,0.9374,0.9401,Linear Discriminant Analysis,0.59
0.95,0.0,0.95,0.9591,0.9492,0.9248,0.9299,Quadratic Discriminant Analysis,0.62
0.9417,0.9994,0.9417,0.9538,0.9404,0.9123,0.9192,MLP Classifier,0.87
0.9333,0.9497,0.9333,0.9405,0.9328,0.8999,0.9039,Decision Tree Classifier,11.34
0.9333,0.9947,0.9333,0.9405,0.9328,0.8999,0.9039,Random Forest Classifier,1.28
0.9333,0.0,0.9333,0.9447,0.9326,0.8999,0.9062,Ada Boost Classifier,0.73
0.9333,0.0,0.9333,0.9405,0.9328,0.8999,0.9039,Gradient Boosting Classifier,1.03
0.8,0.0,0.8,0.8076,0.7899,0.7004,0.7122,Ridge Classifier,0.59
0.775,0.0,0.775,0.767,0.7442,0.6656,0.7139,SVM - Linear Kernel,1.08
0.325,0.5,0.325,0.1056,0.1594,0.0,0.0,Dummy Classifier,0.5
