Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec),Description,Value
0.054,0.0,0.054,0.0322,0.0588,0.0809,0.0679,SVM - Linear Kernel,7.73,,
0.0312,0.0104,0.0312,0.0298,0.0313,0.0467,0.0459,Light Gradient Boosting Machine,756.73,,
0.0236,0.0,0.0236,0.0204,0.0237,0.0354,0.0337,Logistic Regression,233.66,,
0.0236,0.0144,0.0236,0.0228,0.0238,0.0354,0.0349,Extreme Gradient Boosting,11.06,,
0.0204,0.0009,0.0204,0.0204,0.0204,0.0306,0.0306,Gaussian Process Classifier,13.97,,
0.0204,0.0,0.0204,0.0177,0.0205,0.0306,0.0292,MLP Classifier,10.75,,
0.0204,0.0,0.0204,0.0177,0.0205,0.0306,0.0292,Quadratic Discriminant Analysis,9.82,,
0.0118,0.0,0.0118,0.0076,0.0123,0.0178,0.0151,Gradient Boosting Classifier,19.69,,
0.0118,0.0012,0.0118,0.0096,0.012,0.0177,0.0165,Extra Trees Classifier,12.23,,
0.0118,0.0,0.0118,0.0095,0.0119,0.0177,0.0165,Linear Discriminant Analysis,4.39,,
0.0118,0.0049,0.0118,0.0076,0.0123,0.0178,0.0151,Random Forest Classifier,16.74,,
0.0118,0.0,0.0118,0.0085,0.0121,0.0177,0.0158,Ada Boost Classifier,8.48,,
0.0118,0.0024,0.0118,0.0113,0.0118,0.0177,0.0173,Naive Bayes,105.89,,
0.0118,0.0,0.0118,0.0085,0.0123,0.0178,0.0155,Ridge Classifier,11.22,,
0.0118,0.0,0.0118,0.0109,0.0118,0.0177,0.0173,SVM - Radial Kernel,7.85,,
0.0118,0.0087,0.0118,0.0141,0.0116,0.0176,0.0189,Decision Tree Classifier,36.98,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dummy Classifier,6.57,,
,,,,,,,K Neighbors Classifier,500.08,USI,18aa
