Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.0399,0.0172,0.0588,0.0814,0.0312,0.069,0.0649,Ada Boost Classifier,0.87
0.0315,0.0232,0.0179,0.0619,0.037,0.0644,0.0672,Logistic Regression,18.61
0.0297,0.0093,0.0315,0.0506,0.0397,0.0634,0.0649,MLP Classifier,2.76
0.0286,0.0075,0.051,0.0445,0.0496,0.0671,0.0665,Quadratic Discriminant Analysis,0.61
0.0255,0.166,0.1191,0.3286,0.1749,0.0987,0.122,SVM - Linear Kernel,1.07
0.0233,0.0216,0.051,0.0309,0.0422,0.0558,0.0545,K Neighbors Classifier,8.21
0.0225,0.0116,0.051,0.0228,0.0384,0.0528,0.0516,Gaussian Process Classifier,4.35
0.0225,0.0303,0.0155,0.0441,0.024,0.0442,0.0452,Gradient Boosting Classifier,0.83
0.0222,0.0193,0.0259,0.0403,0.0262,0.045,0.0456,Light Gradient Boosting Machine,246.62
0.0205,0.0033,0.0137,0.043,0.0206,0.0395,0.0408,Ridge Classifier,0.57
0.0186,0.012,0.0137,0.0419,0.0171,0.0349,0.0365,Decision Tree Classifier,10.43
0.0173,0.0097,0.0424,0.0202,0.0348,0.0432,0.041,Naive Bayes,8.98
0.0133,0.0157,0.0452,0.0255,0.051,0.0418,0.0376,Linear Discriminant Analysis,0.65
0.0082,0.0269,0.0137,0.0148,0.0073,0.0146,0.0141,SVM - Radial Kernel,0.85
0.0052,0.0097,0.0697,0.0439,0.0225,0.0151,0.0091,Random Forest Classifier,1.25
0.0008,0.0,0.0,0.0,0.0,0.0,0.0,Dummy Classifier,0.88
