MAE,MSE,RMSE,R2,RMSLE,MAPE,Model,TT (Sec)
60.977,412232.6546,306.0715,0.3426,0.0865,1.7561,Light Gradient Boosting Machine,600.74
4.1285,36368.9121,111.5105,0.3382,0.0092,0.1692,Support Vector Regression,1.07
9.1927,4542.3622,38.0844,0.2989,0.1674,0.317,Orthogonal Matching Pursuit,0.52
3.8068,26503.3145,100.4146,0.2741,0.0216,0.0545,K Neighbors Regressor,0.58
3.1013,20503.7723,91.8708,0.2285,0.0181,0.0279,Random Forest Regressor,1.53
2.7676,18075.4582,87.668,0.2075,0.0183,0.021,Extra Trees Regressor,1.1
2.8776,18030.9222,86.5779,0.2034,0.0103,0.018,Decision Tree Regressor,0.61
2.9921,18146.667,86.4146,0.2025,0.0127,0.0235,Gradient Boosting Regressor,2.16
3.5993,18251.5659,83.4362,0.1983,0.0131,0.0517,Extreme Gradient Boosting,1.48
2.2854,17798.7338,78.1112,0.1562,0.0832,0.4715,AdaBoost Regressor,0.84
0.234,73.4906,4.3254,0.0172,0.0775,0.195,Least Angle Regression,0.52
0.6692,45.9102,2.3529,0.01,0.0372,0.0231,Automatic Relevance Determination,1.38
0.1466,45.7526,2.3689,0.0093,0.0453,0.0523,Elastic Net,9.81
0.1433,43.0096,2.3622,0.0093,0.0279,0.0089,MLP Regressor,1.99
0.2423,38.9863,2.1835,0.0081,0.0436,0.0463,Lasso Regression,8.26
0.2413,38.9649,2.186,0.008,0.0435,0.0459,Lasso Least Angle Regression,0.48
0.6661,545.18,12.521,0.0064,0.0362,0.0124,Passive Aggressive Regressor,0.52
0.063,90.3405,4.6613,0.003,0.0387,0.0194,Kernel Ridge,13.58
0.0498,82.5894,4.8324,0.0018,0.0466,0.0305,Linear Regression,10.9
14.8138,141380.3223,114.4152,0.0014,0.0264,1.1598,Dummy Regressor,1.96
0.3311,154.0341,7.3246,0.0013,0.0384,0.0465,Random Sample Consensus,0.5
0.0368,82.8392,4.8739,0.0012,0.042,0.0221,Bayesian Ridge,0.58
0.153,42.2812,3.2626,0.0008,0.0224,0.0089,Huber Regressor,0.88
0.0796,13.7446,1.6894,0.0006,0.04,0.0316,TheilSen Regressor,6.76
0.0799,64.4193,4.4308,0.0003,0.0308,0.027,Ridge Regression,8.18
