MAE,MSE,RMSE,R2,RMSLE,MAPE,Model,TT (Sec)
413.992,7884945.5634,1700.8238,13.7767,0.0541,1.0201,Kernel Ridge,0.7
23.0146,466746.2213,281.8386,1.3,0.041,0.2689,TheilSen Regressor,4.65
17.5722,370874.9841,236.8375,1.0367,0.0123,0.0823,Random Sample Consensus,0.62
10.297,352134.9032,241.514,0.98,0.0287,0.155,Huber Regressor,0.59
16.9299,217448.9046,165.3098,0.5155,0.0651,0.2504,Passive Aggressive Regressor,0.49
19.6042,195628.0372,149.9122,0.2441,0.0687,1.3695,Linear Regression,19.11
19.6808,195200.5202,149.737,0.244,0.0639,1.1085,Lasso Least Angle Regression,0.58
19.6773,195199.6259,149.7364,0.244,0.0642,1.1076,Lasso Regression,8.83
19.6108,195557.4573,149.838,0.2439,0.0696,1.3695,Least Angle Regression,1.02
19.2785,195516.8872,149.8893,0.2438,0.0755,1.2993,Ridge Regression,7.47
20.608,193422.1216,148.8352,0.2367,0.0666,0.8109,Automatic Relevance Determination,0.78
20.6828,192604.2705,147.7164,0.2246,0.0412,0.1858,Elastic Net,8.68
16.3775,183246.6279,138.0306,0.1994,0.0523,1.207,Bayesian Ridge,0.53
23.0807,189076.9516,141.0787,0.199,0.0397,1.257,Orthogonal Matching Pursuit,0.56
14.6229,50613.7499,58.6328,0.0531,0.0036,0.7449,AdaBoost Regressor,0.61
8.8943,68705.6225,93.1711,0.0524,0.0558,0.2537,Random Forest Regressor,0.97
15.9771,86086.3737,99.9555,0.0509,0.031,0.0156,K Neighbors Regressor,0.54
8.7411,64558.3693,85.6779,0.0476,0.054,0.1164,Decision Tree Regressor,0.55
10.4688,42268.9442,59.0575,0.0474,0.0267,0.2715,MLP Regressor,2.89
18.113,143132.4663,112.0209,0.028,0.0304,0.2962,Support Vector Regression,0.54
25.9722,92928.5939,96.272,0.0261,0.1148,0.4417,Light Gradient Boosting Machine,373.25
9.1433,56945.029,76.0293,0.0141,0.0331,0.2444,Gradient Boosting Regressor,0.74
14.8138,141380.3223,114.4152,0.0014,0.0264,1.1598,Dummy Regressor,4.12
