MAE,MSE,RMSE,R2,RMSLE,MAPE,Model,TT (Sec)
137.8971,117214.6302,337.2341,0.6803,1.2467,2.9395,MLP Regressor,3.11
114.78,127795.3815,345.1297,0.6782,0.8341,1.133,Random Forest Regressor,1.1
115.0008,137878.1552,363.4525,0.6378,0.8533,1.2935,Gradient Boosting Regressor,0.69
127.499,152572.4249,381.0928,0.6031,0.8993,0.904,Decision Tree Regressor,0.51
140.9015,176036.6302,407.4869,0.549,0.9887,1.4257,K Neighbors Regressor,0.5
239.3521,180987.2534,421.3662,0.4988,2.0023,10.8582,AdaBoost Regressor,0.65
165.7466,235435.9435,475.5709,0.3786,1.082,1.9028,Light Gradient Boosting Machine,354.1
279.1503,375991.0312,602.412,-0.0018,2.0542,11.166,Dummy Regressor,1.95
209.6039,396292.5494,619.4706,-0.0637,1.467,2.3518,Support Vector Regression,0.55
279.0047,491028.9271,684.9882,-0.2942,1.9504,8.0672,Elastic Net,9.43
277.3267,491746.6458,685.2698,-0.296,1.8801,7.9486,Automatic Relevance Determination,0.9
277.3042,496519.6875,688.5481,-0.3089,1.8919,7.8309,Lasso Least Angle Regression,0.81
277.3044,496517.5521,688.5467,-0.3089,1.8915,7.8318,Lasso Regression,7.5
277.6942,496948.0365,688.826,-0.3099,1.8946,7.7607,Ridge Regression,7.62
278.2747,497418.7448,689.1626,-0.3112,1.871,7.7736,Linear Regression,24.96
278.3185,497471.5156,689.217,-0.3114,1.8717,7.7739,Least Angle Regression,0.6
285.3086,500554.401,693.9034,-0.3336,2.0264,9.6358,Bayesian Ridge,0.93
291.4075,508658.9531,699.1107,-0.3517,2.0886,11.1815,Orthogonal Matching Pursuit,0.95
199.5788,530932.7117,709.6516,-0.4357,1.071,0.9346,Passive Aggressive Regressor,0.49
203.7822,654354.5755,772.0269,-0.7588,1.2465,2.5176,Huber Regressor,0.58
201.8625,722421.8021,816.2902,-0.9664,0.9656,0.8462,Random Sample Consensus,0.59
210.0988,853940.3512,880.061,-1.2878,1.0847,1.9513,TheilSen Regressor,5.84
549.0555,5846445.2031,1718.6166,-9.6963,1.8058,7.744,Kernel Ridge,0.88
