series,model,status,smape,mae,rmse,mape,training_time,error
multivariate_combined,VARIMA,ok,20.54845585451883,38.93744073799519,44.53237062108268,18.29496638817556,483.51,
Open,NaiveSeasonal,ok,22.499362620211507,42.16246013667426,47.74637428064678,19.830394986775723,0.0,
Open,NaiveDrift,ok,20.92506830317675,39.5679271070615,45.16400632107816,18.591936684636142,0.0,
Open,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Open,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Open,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Open,RandomForest,ok,22.834487436802906,42.71400159453308,48.26317068303296,20.094839162765737,1.79,
Open,LightGBM,ok,23.566917634471075,43.91567527581307,49.48484028105193,20.659898311199665,1.0,
Open,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Open,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
High,NaiveSeasonal,ok,22.638188147940628,42.854646924829154,48.690429150792895,19.884168940057315,0.0,
High,NaiveDrift,ok,20.63191463920067,39.51264236902049,45.36698273329914,18.29902650378269,0.0,
High,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
High,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
High,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
High,RandomForest,ok,22.953485003492034,43.37800136674264,49.18894614698724,20.132447930098355,1.79,
High,LightGBM,ok,23.735975998888524,44.666720775685384,50.45178295092963,20.745974017404674,0.99,
High,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
High,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Low,NaiveSeasonal,ok,22.12005211039076,41.05205011389521,46.624220638139306,19.560181908775157,0.0,
Low,NaiveDrift,ok,20.259040827145565,37.99560364464693,43.526516425260255,18.1052101648408,0.0,
Low,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Low,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Low,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Low,RandomForest,ok,22.40137965813794,41.51393895216396,47.05807918452849,19.78062000913677,1.79,
Low,LightGBM,ok,23.072927628947404,42.60830084296307,48.158327255921385,20.30052754459986,0.95,
Low,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Low,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Close,NaiveSeasonal,ok,22.429260166025472,42.0580410022779,47.79828956823876,19.759327407037333,0.0,
Close,NaiveDrift,ok,20.004613163042315,38.03439635535309,43.72381672469758,17.855047467979528,0.0,
Close,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Close,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Close,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Close,RandomForest,ok,22.73196620102382,42.55882961275613,48.262975114564775,19.99808401002145,1.71,
Close,LightGBM,ok,23.455949294963425,43.74481354012062,49.420521281973144,20.56484223070047,0.95,
Close,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Close,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume,NaiveSeasonal,ok,44.82004902948742,15521721.255125284,22154507.007071324,34.97412496900709,0.0,
Volume,NaiveDrift,ok,39.53641488483765,14230301.369020501,20921810.20233393,31.88953899577538,0.0,
Volume,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
