Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.9833,0.0,0.9833,0.9845,0.9833,0.975,0.9756,SVM - Radial Kernel,0.59
0.975,0.0,0.975,0.9778,0.9749,0.9625,0.964,Logistic Regression,2.11
0.975,0.9873,0.975,0.9767,0.975,0.9625,0.9634,K Neighbors Classifier,0.82
0.975,0.9994,0.975,0.9756,0.975,0.9625,0.9628,Gaussian Process Classifier,0.79
0.975,1.0,0.975,0.9778,0.9749,0.9625,0.9639,MLP Classifier,0.88
0.975,0.0,0.975,0.9778,0.9749,0.9625,0.9639,Quadratic Discriminant Analysis,0.57
0.9667,0.0,0.9667,0.97,0.9665,0.95,0.9517,Linear Discriminant Analysis,0.52
0.9583,0.995,0.9583,0.9611,0.9582,0.9374,0.9389,Naive Bayes,0.72
0.95,0.9957,0.95,0.9543,0.9498,0.9249,0.9272,Random Forest Classifier,1.19
0.9417,0.9561,0.9417,0.9465,0.9414,0.9124,0.915,Decision Tree Classifier,0.82
0.9417,0.0,0.9417,0.9483,0.9411,0.9123,0.916,Gradient Boosting Classifier,1.25
0.9333,0.0,0.9333,0.9447,0.9326,0.8999,0.9062,Ada Boost Classifier,0.68
0.8333,0.0,0.8333,0.8423,0.8317,0.7498,0.7559,Ridge Classifier,0.52
0.825,0.0,0.825,0.877,0.8141,0.7377,0.7694,SVM - Linear Kernel,0.68
0.325,0.5,0.325,0.1056,0.1594,0.0,0.0,Dummy Classifier,0.43
