MAE,MSE,RMSE,R2,RMSLE,MAPE,Model,TT (Sec)
112.8653,123759.0552,339.2338,0.6896,0.8299,1.1349,Random Forest Regressor,1.69
140.3907,117877.5911,338.5787,0.6782,1.2814,3.1905,MLP Regressor,5.24
115.6142,138792.0172,364.7565,0.635,0.8533,1.2894,Gradient Boosting Regressor,1.09
125.9867,145440.9987,374.1674,0.6139,0.8834,0.8887,Decision Tree Regressor,0.78
140.5248,175966.9349,407.3945,0.5492,0.9789,1.4019,K Neighbors Regressor,0.89
237.0656,176962.5356,415.4894,0.5174,2.0033,10.8972,AdaBoost Regressor,0.98
279.1503,375991.0312,602.412,-0.0018,2.0542,11.166,Dummy Regressor,0.61
209.606,396294.0295,619.4718,-0.0637,1.4671,2.3519,Support Vector Regression,0.83
278.663,491625.901,685.3798,-0.2958,1.9408,8.1114,Elastic Net,7.89
277.3254,492783.2812,685.9678,-0.299,1.8809,7.927,Automatic Relevance Determination,1.68
276.552,496628.9219,688.5745,-0.3092,1.8461,7.3642,Ridge Regression,8.33
276.6448,496994.5052,688.7994,-0.3102,1.8651,7.6534,Lasso Least Angle Regression,0.53
276.646,496992.2135,688.7979,-0.3102,1.8649,7.6545,Lasso Regression,7.77
276.5903,497016.8646,688.8922,-0.3104,1.8154,7.0979,Linear Regression,22.12
282.4947,499988.1458,690.6595,-0.3156,1.8462,7.8696,Least Angle Regression,0.54
285.281,500638.0573,693.9536,-0.3337,2.0275,9.6348,Bayesian Ridge,0.56
291.4075,508658.9531,699.1107,-0.3517,2.0886,11.1815,Orthogonal Matching Pursuit,0.5
198.5281,544243.8159,718.0413,-0.4675,1.0389,0.8543,Passive Aggressive Regressor,1.71
286.3648,550514.1042,729.1537,-0.4998,1.9122,8.5678,Kernel Ridge,3.43
203.3379,652248.5791,770.5035,-0.7533,1.2121,2.272,Huber Regressor,0.94
216.9734,823926.25,884.0936,-1.233,1.007,0.8309,Random Sample Consensus,1.91
215.5394,939483.5464,921.2145,-1.5279,1.0795,1.9992,TheilSen Regressor,5.83
