MAE,MSE,RMSE,R2,RMSLE,MAPE,Model,TT (Sec)
23.0807,189076.9974,141.0788,0.199,0.0397,1.257,Orthogonal Matching Pursuit,5.09
8.3281,56080.4778,129.9718,0.0944,0.0499,0.2623,AdaBoost Regressor,0.36
12.4065,70616.1743,100.1828,0.0873,0.0857,0.2079,TheilSen Regressor,3.52
16.3694,89705.7323,113.7799,0.0869,0.0364,0.0388,K Neighbors Regressor,0.27
2.6497,25245.5994,51.1639,0.0796,0.0086,0.0031,Extreme Gradient Boosting,0.61
11.3111,43255.7294,95.4633,0.0785,0.0849,0.7153,Huber Regressor,0.33
8.7124,38377.2937,81.6747,0.0733,0.098,0.501,Kernel Ridge,0.85
3.7615,45390.782,89.8378,0.0576,0.0563,0.1458,Elastic Net,0.26
14.5023,42767.5789,54.5264,0.0545,0.0337,0.0224,Light Gradient Boosting Machine,279.88
15.0369,59393.1131,80.7479,0.0529,0.1216,0.0877,Passive Aggressive Regressor,0.25
13.4834,57909.4499,86.0791,0.0461,0.103,0.4307,Random Sample Consensus,0.38
10.4953,31056.6012,58.41,0.0453,0.0574,0.2127,MLP Regressor,2.4
5.661,17838.0931,72.8827,0.0297,0.0078,0.0006,Random Forest Regressor,0.96
18.1037,143110.7907,112.0617,0.0276,0.0303,0.289,Support Vector Regression,0.32
6.1651,15111.0408,73.8717,0.0263,0.0099,0.0044,Gradient Boosting Regressor,0.41
5.7622,24156.157,57.401,0.0217,0.0804,1.0314,Lasso Least Angle Regression,0.25
5.762,24159.2567,57.4073,0.0217,0.0803,1.0312,Lasso Regression,0.29
5.2244,23810.7599,56.9836,0.0214,0.0735,1.1472,Automatic Relevance Determination,0.59
5.7629,23933.1322,56.9656,0.0213,0.0758,1.0465,Ridge Regression,0.28
5.7657,23872.1412,56.8488,0.0212,0.0752,1.05,Bayesian Ridge,0.26
5.7786,23782.6554,56.6591,0.021,0.0737,1.0564,Linear Regression,0.39
5.7787,23783.2372,56.6601,0.021,0.0737,1.0564,Least Angle Regression,0.26
6.2138,8909.3914,61.9596,0.0158,0.0093,0.001,Extra Trees Regressor,0.53
2.3735,4528.1402,33.876,0.0071,0.0045,0.0007,Decision Tree Regressor,0.32
14.8138,141380.3223,114.4152,0.0014,0.0264,1.1598,Dummy Regressor,0.26
