model,status,smape,mae,rmse,mape,training_time,error
NaiveSeasonal,ok,80.95348135076878,6.183908045977011,7.178511996420889,288.16271085236605,0.0,
Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
NaiveDrift,ok,80.95348135076878,6.183908045977011,7.178511996420889,288.16271085236605,0.0,
AutoARIMA,failed,,,,,0.0,Input y contains NaN.
ARIMA_101,ok,67.81060517498169,4.088539977814705,4.845292899038747,191.37547853411976,0.24,
ARIMA_111,ok,80.95348135076878,6.183908045977011,7.178511996420889,288.16271085236605,0.05,
ARIMA_212,ok,80.95348135076878,6.183908045977011,7.178511996420889,288.16271085236605,0.07,
ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
ExponentialSmoothing_Add,failed,,,,,0.0,'str' object has no attribute 'value'
ExponentialSmoothing_Mul,failed,,,,,0.0,'str' object has no attribute 'value'
Holt,failed,,,,,0.0,'str' object has no attribute 'value'
HoltWinters,failed,,,,,0.0,'str' object has no attribute 'value'
StatsForecast_AutoARIMA,ok,67.88254648474181,4.097139003138803,4.854457634412495,191.7658403232158,2.31,
StatsForecast_AutoETS,failed,,,,,0.0,This function does not handle missing values
StatsForecast_AutoCES,failed,,,,,0.0,This function does not handle missing values
Croston,ok,80.7552686068497,6.1504425782671985,7.144370104560328,286.9313064201764,0.74,
FFT,ok,22.199910534091735,0.7388127773378638,1.2965218227248485,34.63303498040207,0.02,
KalmanForecaster,failed,,,,,0.0,Output data cannot contain nulls
RandomForest,ok,5.92984386924817,0.2741869049814833,1.192950084946331,13.826990517294915,0.38,
RandomForest_Light,ok,68.56655824533671,4.215968222165111,5.036799432161701,188.20188163397606,0.17,
LightGBM,ok,10.946329545189384,0.45596892238131653,1.3595970437302476,22.600878302724052,1.13,
LightGBM_Fast,ok,68.57976267189751,4.217513265176736,5.036683001058291,188.40859198351666,0.47,
XGBoost,ok,71.3619528198355,3.690455866408074,4.813958092230138,65.45801052367052,0.42,
XGBoost_Light,ok,62.886595554193896,3.483962678361213,4.031785512149509,158.79997376459926,0.12,
NBEATS_Tiny,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
LSTM_Small,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
GRU_Small,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
NBEATS_Medium,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
LSTM_Medium,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Transformer_Small,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
TCN_Small,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
