Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.1414,0.0,0.1414,0.2168,0.189,0.2092,0.1685,Ada Boost Classifier,0.38
0.0717,0.0,0.0717,0.0448,0.084,0.1112,0.0944,Quadratic Discriminant Analysis,0.25
0.0707,0.0,0.0707,0.0659,0.0711,0.1064,0.1037,Linear Discriminant Analysis,0.25
0.0656,0.0,0.0656,0.0515,0.0812,0.1004,0.1067,SVM - Linear Kernel,0.29
0.0656,0.0278,0.0656,0.0615,0.0661,0.0988,0.0963,MLP Classifier,0.56
0.0656,0.0,0.0656,0.0577,0.07,0.0994,0.091,Ridge Classifier,0.27
0.0425,0.0,0.0425,0.0376,0.0442,0.0641,0.0604,SVM - Radial Kernel,0.27
0.0312,0.0075,0.0312,0.0319,0.0312,0.0468,0.0471,Gaussian Process Classifier,0.54
0.0236,0.0,0.0236,0.0214,0.0226,0.0354,0.0353,Logistic Regression,7.02
0.0236,0.0163,0.0236,0.0205,0.0246,0.0352,0.0329,Light Gradient Boosting Machine,110.56
0.0204,0.0207,0.0204,0.019,0.0205,0.0305,0.0299,Extra Trees Classifier,0.6
0.0118,0.0,0.0118,0.0106,0.0118,0.0178,0.0173,Gradient Boosting Classifier,0.63
0.0118,0.014,0.0118,0.0108,0.0118,0.0177,0.0172,Random Forest Classifier,0.69
0.0118,0.0106,0.0118,0.0108,0.0118,0.0177,0.0171,K Neighbors Classifier,4.95
0.0118,0.0078,0.0118,0.007,0.0109,0.0176,0.0159,Decision Tree Classifier,4.9
0.0118,0.0,0.0118,0.0085,0.0109,0.0,0.0,Dummy Classifier,0.26
0.0,0.016,0.0,0.0024,0.0005,0.0001,0.0011,Extreme Gradient Boosting,1.45
0.0,0.0202,0.0,0.0031,0.0001,0.0002,0.0018,Naive Bayes,4.82
