Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.1472,0.0,0.1472,0.1517,0.1891,0.2157,0.1778,SVM - Linear Kernel,0.32
0.054,0.0135,0.054,0.0425,0.0548,0.0763,0.0787,MLP Classifier,0.28
0.0236,0.0,0.0236,0.0204,0.0236,0.0353,0.0337,Gradient Boosting Classifier,0.63
0.0236,0.0242,0.0236,0.0204,0.0236,0.0353,0.0337,Light Gradient Boosting Machine,112.91
0.0236,0.0175,0.0236,0.0204,0.0236,0.0353,0.0337,Decision Tree Classifier,4.64
0.0236,0.0,0.0236,0.0234,0.0239,0.0353,0.035,SVM - Radial Kernel,0.26
0.0204,0.0,0.0204,0.0177,0.0205,0.0306,0.0292,Logistic Regression,6.67
0.0204,0.0198,0.0204,0.0177,0.0205,0.0306,0.0292,Extreme Gradient Boosting,0.56
0.0204,0.0,0.0204,0.0191,0.0205,0.0305,0.0299,Linear Discriminant Analysis,0.27
0.0204,0.0036,0.0204,0.0177,0.0205,0.0306,0.0292,Random Forest Classifier,0.7
0.0118,0.0,0.0118,0.0085,0.0109,0.0,0.0,Quadratic Discriminant Analysis,0.26
0.0118,0.0109,0.0118,0.0095,0.0119,0.0176,0.0164,K Neighbors Classifier,4.93
0.0118,0.0055,0.0118,0.0121,0.0116,0.0177,0.0179,Gaussian Process Classifier,0.56
0.0118,0.0,0.0118,0.0085,0.0109,0.0,0.0,Dummy Classifier,0.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ada Boost Classifier,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ridge Classifier,0.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Extra Trees Classifier,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Naive Bayes,4.64
