Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,TT (Sec)
0.9833,0.0,0.9833,0.9845,0.9833,0.975,0.9756,SVM - Radial Kernel,0.55
0.975,0.0,0.975,0.9778,0.9749,0.9625,0.964,Logistic Regression,9.7
0.975,0.9873,0.975,0.9767,0.975,0.9625,0.9634,K Neighbors Classifier,7.2
0.975,0.9994,0.975,0.9756,0.975,0.9625,0.9628,Gaussian Process Classifier,1.01
0.975,1.0,0.975,0.9778,0.9749,0.9625,0.9639,MLP Classifier,0.82
0.975,0.0,0.975,0.9778,0.9749,0.9625,0.9639,Quadratic Discriminant Analysis,0.54
0.9667,0.0,0.9667,0.97,0.9665,0.95,0.9517,Linear Discriminant Analysis,0.49
0.9583,0.995,0.9583,0.9611,0.9582,0.9374,0.9389,Naive Bayes,7.71
0.95,0.9957,0.95,0.9543,0.9498,0.9249,0.9272,Random Forest Classifier,1.04
0.9417,0.9561,0.9417,0.9465,0.9414,0.9124,0.915,Decision Tree Classifier,14.92
0.9417,0.0,0.9417,0.9483,0.9411,0.9123,0.916,Gradient Boosting Classifier,0.91
0.9333,0.0,0.9333,0.9447,0.9326,0.8999,0.9062,Ada Boost Classifier,0.62
0.8333,0.0,0.8333,0.8423,0.8317,0.7498,0.7559,Ridge Classifier,0.57
0.825,0.0,0.825,0.877,0.8141,0.7377,0.7694,SVM - Linear Kernel,0.57
0.325,0.5,0.325,0.1056,0.1594,0.0,0.0,Dummy Classifier,0.48
