Ship Mode,Segment,City,State,Sub-Category,Sales,Quantity,Discount,Profit,Quantity_sqrt,Discount_sqrt,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West
Second Class,Consumer,Henderson,Kentucky,Bookcases,261.96,2,0.0,41.9136,1.4142135,0.0,False,True,False,False,False,False,True,False
Second Class,Consumer,Henderson,Kentucky,Chairs,731.94,3,0.0,219.582,1.7320508,0.0,False,True,False,False,False,False,True,False
Second Class,Corporate,Los Angeles,California,Labels,14.62,2,0.0,6.8714,1.4142135,0.0,False,True,False,True,False,False,False,True
Standard Class,Consumer,Fort Lauderdale,Florida,Tables,957.5775,5,0.45,-383.031,2.236068,0.6708204,False,False,True,False,False,False,True,False
Standard Class,Consumer,Fort Lauderdale,Florida,Storage,22.368,2,0.2,2.5164,1.4142135,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Los Angeles,California,Furnishings,48.86,7,0.0,14.1694,2.6457512,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Art,7.28,4,0.0,1.9656,2.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Phones,907.152,6,0.2,90.7152,2.4494898,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Binders,18.504,3,0.2,5.7825,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Appliances,114.9,5,0.0,34.47,2.236068,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Tables,1706.184,9,0.2,85.3092,3.0,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Phones,911.424,4,0.2,68.3568,2.0,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Concord,North Carolina,Paper,15.552,3,0.2,5.4432,1.7320508,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Seattle,Washington,Binders,407.976,3,0.2,132.5922,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Home Office,Fort Worth,Texas,Appliances,68.81,5,0.8,-123.858,2.236068,0.8944272,False,False,True,False,True,False,False,False
Standard Class,Home Office,Fort Worth,Texas,Binders,2.544,3,0.8,-3.816,1.7320508,0.8944272,False,False,True,False,True,False,False,False
Standard Class,Consumer,Madison,Wisconsin,Storage,665.88,6,0.0,13.3176,2.4494898,0.0,False,False,True,False,False,False,False,False
