Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Date_year,Order Date_month,Order Date_day,Order Date_dayofweek,Order Date_quarter,Ship Date_year,Ship Date_month,Ship Date_day,Ship Date_dayofweek,Ship Date_quarter,Sales_log,Sales_sqrt,Quantity_sqrt,Discount_sqrt,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,11,8,1,4,2016,11,11,4,4,5.572002,16.185179,1.4142135,0.0,False,True,False,False,False,False,True,False,False,False
2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,2016,11,8,1,4,2016,11,11,4,4,6.597064,27.05439,1.7320508,0.0,False,True,False,False,False,False,True,False,False,False
2016-06-12,2016-06-16,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,6,12,6,2,2016,6,16,3,2,2.748552,3.8236108,1.4142135,0.0,False,True,False,True,False,False,False,True,True,False
2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,10,11,6,4,2015,10,18,6,4,6.8654504,30.94475,2.236068,0.6708204,False,False,True,False,False,False,True,False,False,False
2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,10,11,6,4,2015,10,18,6,4,3.1513677,4.729482,1.4142135,0.4472136,False,False,True,False,False,False,True,False,True,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,6,9,0,2,2014,6,14,5,2,3.909219,6.9899926,2.6457512,0.0,False,False,True,False,False,False,False,True,False,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014,6,9,0,2,2014,6,14,5,2,2.113843,2.6981475,2.0,0.0,False,False,True,False,False,False,False,True,True,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,2014,6,9,0,2,2014,6,14,5,2,6.811412,30.118963,2.4494898,0.4472136,False,False,True,False,False,False,False,True,False,True
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,6,9,0,2,2014,6,14,5,2,2.9706197,4.3016276,1.7320508,0.4472136,False,False,True,False,False,False,False,True,True,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,6,9,0,2,2014,6,14,5,2,4.752728,10.719142,2.236068,0.0,False,False,True,False,False,False,False,True,True,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,6,9,0,2,2014,6,14,5,2,7.4426007,41.30598,3.0,0.4472136,False,False,True,False,False,False,False,True,False,False
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,2014,6,9,0,2,2014,6,14,5,2,6.816105,30.1898,2.0,0.4472136,False,False,True,False,False,False,False,True,False,True
2017-04-15,2017-04-20,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,4,15,5,2,2017,4,20,3,2,2.8065069,3.9436023,1.7320508,0.4472136,False,False,True,False,False,False,True,False,True,False
2016-12-05,2016-12-10,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,12,5,0,4,2016,12,10,5,4,6.0136566,20.198416,1.7320508,0.4472136,False,False,True,False,False,False,False,True,True,False
2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,11,22,6,4,2015,11,26,3,4,4.245777,8.295179,2.236068,0.8944272,False,False,True,False,True,False,False,False,True,False
2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,11,22,6,4,2015,11,26,3,4,1.265256,1.5949922,1.7320508,0.8944272,False,False,True,False,True,False,False,False,True,False
2014-11-11,2014-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,11,11,1,4,2014,11,18,1,4,6.50261,25.804651,2.4494898,0.0,False,False,True,False,False,False,False,False,True,False
2014-05-13,2014-05-15,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014,5,13,1,2,2014,5,15,3,2,4.0342407,7.4498324,1.4142135,0.0,False,True,False,False,False,False,False,True,True,False
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014,8,27,2,3,2014,9,1,0,3,2.2575877,2.9257479,1.4142135,0.0,False,True,False,False,False,False,False,True,True,False
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,2014,8,27,2,3,2014,9,1,0,3,5.3682165,14.610955,1.7320508,0.4472136,False,True,False,False,False,False,False,True,False,True
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014,8,27,2,3,2014,9,1,0,3,3.1663187,4.76655,2.0,0.4472136,False,True,False,False,False,False,False,True,True,False
2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016,12,9,4,4,2016,12,13,1,4,3.0184717,4.411349,2.6457512,0.0,False,False,True,True,False,False,False,False,True,False
2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,12,9,4,4,2016,12,13,1,4,4.116432,7.767883,2.6457512,0.0,False,False,True,True,False,False,False,False,True,False
2017-07-16,2017-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,7,16,6,3,2017,7,18,1,3,4.2818193,8.448195,1.4142135,0.5477226,False,True,False,False,False,True,False,False,False,False
2015-09-25,2015-09-30,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.2649,2015,9,25,4,3,2015,9,30,2,3,6.952375,32.320736,1.7320508,0.0,False,False,True,False,False,False,False,True,False,False
2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2016,1,16,5,1,2016,1,20,2,1,2.5374992,3.4129167,1.4142135,0.4472136,False,True,False,False,False,False,False,True,True,False
2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,2016,1,16,5,1,2016,1,20,2,1,4.5171037,9.516828,1.7320508,0.0,False,True,False,False,False,False,False,True,False,True
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,9,17,3,3,2015,9,21,0,3,8.034122,55.52864,2.6457512,0.70710677,False,False,True,False,False,True,False,False,False,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015,9,17,3,3,2015,9,21,0,3,2.3625507,3.10129,1.4142135,0.83666,False,False,True,False,False,True,False,False,True,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015,9,17,3,3,2015,9,21,0,3,4.8299127,11.1445055,1.7320508,0.4472136,False,False,True,False,False,True,False,False,False,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015,9,17,3,3,2015,9,21,0,3,1.4502077,1.8066543,1.4142135,0.4472136,False,False,True,False,False,True,False,False,True,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,2015,9,17,3,3,2015,9,21,0,3,4.469396,9.289994,2.4494898,0.4472136,False,False,True,False,False,True,False,False,True,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2015,9,17,3,3,2015,9,21,0,3,2.061532,2.6187782,2.4494898,0.83666,False,False,True,False,False,True,False,False,True,False
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,2015,9,17,3,3,2015,9,21,0,3,2.818995,3.9698865,1.4142135,0.4472136,False,False,True,False,False,True,False,False,True,False
2017-10-19,2017-10-23,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2017,10,19,3,4,2017,10,23,0,4,3.4168081,5.428812,1.7320508,0.4472136,False,True,False,False,True,False,False,False,True,False
2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016,12,8,3,4,2016,12,10,5,4,7.001741,33.1292,2.6457512,0.4472136,False,False,False,True,False,False,False,False,False,True
2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,12,8,3,4,2016,12,10,5,4,5.2570786,13.81738,2.236068,0.7745967,False,False,False,True,False,False,False,False,False,False
