Month,Reporting Status,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Gross Floor Area - Buildings (sq ft),Year Built,Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Gross Floor Area - Buildings (sq ft)_log,Gross Floor Area - Buildings (sq ft)_sqrt,# of Buildings_log,# of Buildings_sqrt,Electricity Use (kBtu)_log,Electricity Use (kBtu)_sqrt,Natural Gas Use (kBtu)_log,Natural Gas Use (kBtu)_sqrt,Site EUI (kBtu/sq ft)_log,Site EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Site EUI (kBtu/sq ft)_log,Weather Normalized Site EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Total GHG Emissions (Metric Tons CO2e)_log,Total GHG Emissions (Metric Tons CO2e)_sqrt,GHG Intensity (kg CO2e/sq ft)_sqrt,Reporting Status_Not Submitted,Reporting Status_Submitted Data
Jan,Submitted Data,2.0,False,HYDE PARK,64028.0,2009.0,240.8,323.6,246.0,1160.9,18.1,41.792213,-87.59995,"(41.79221307, -87.59994981)",11.067091,253.03755,0.6931472,1.0,14.684601,1544.2599845880875,14.975284,1785.8359219144406,5.488111,15.517732,5.7825937,17.988886,5.5093884,15.684387,5.801816,18.163149,7.0578117,34.071983,4.2544093,False,True
Jan,Submitted Data,1.0,False,KENWOOD,627680.0,1974.0,95.5,146.0,100.3,4871.7,7.8,41.807476,-87.59126,"(41.80747487, -87.59126397)",13.349788,792.2626,0.6931472,1.0,16.61265,4049.40524027912,17.589132,6598.294522071594,4.569543,9.77241,4.9904327,12.083046,4.6180863,10.014989,5.021905,12.275992,8.491404,69.79756,2.792848,False,True
Jan,Submitted Data,2.0,False,NEAR WEST SIDE,555524.0,2019.0,55.5,148.3,56.7,4581.4,8.2,41.873337,-87.651024,"(41.873335, -87.65102071)",13.227669,745.33484,0.6931472,1.0,17.169142,5348.497704963516,14.603941,1483.2195049958048,4.0342407,7.4498324,5.0059576,12.177849,4.0552573,7.52994,5.02913,12.320714,8.429978,67.68604,2.8635643,False,True
Jan,Submitted Data,3.0,False,NEAR NORTH SIDE,130007.0,1998.0,61.4,151.8,63.0,1092.1,8.4,41.895752,-87.6389,"(41.89575232, -87.638901)",11.775352,360.56485,0.6931472,1.0,15.685662,2547.4067794523903,14.216649,1222.097868421347,4.1335654,7.8358154,5.02913,12.320714,4.158883,7.937254,5.048573,12.441865,6.996773,33.046936,2.8982754,False,True
Jan,Submitted Data,4.0,False,NEAR WEST SIDE,83000.0,1908.0,29.4,64.9,29.6,295.8,3.6,41.874294,-87.65018,"(41.87429514, -87.65017516)",11.326608,288.0972,0.6931472,1.0,14.294587,1270.6621502193257,13.623148,908.298739402406,3.4144425,5.422177,4.1881385,8.056053,3.421,5.440588,4.1789923,8.018728,5.6930585,17.198837,1.8973666,False,True
Jan,Submitted Data,2.5,False,Englewood,98018.0,2016.0,96.7,211.9,98.0,775.0,11.6,41.77391,-87.63872,"(41.77391183, -87.63872071)",11.492917,313.07828,0.6931472,1.0,15.251719,2050.5422453585297,14.620549,1495.5876102722968,4.5819016,9.833616,5.3608227,14.556786,4.59512,9.899495,5.365041,14.587666,6.6541524,27.838821,3.4058774,False,True
Jan,Not Submitted,0.0,False,LINCOLN PARK,257400.0,1947.8,80.8,128.64,84.56,1686.2599999999998,6.86,41.925488,-87.64644,"(41.92548708, -87.64643712)",12.45839,507.34604,0.6931472,1.0,15.621153,2466.5517428183016,16.4453,3724.3574774717854,4.4042773,8.988882,4.8647614,11.341957,4.449218,9.195651,4.892152,11.499565,7.430861,41.064095,2.6191602,True,False
Jan,Submitted Data,0.0,True,NEAR NORTH SIDE,2731896.0,1989.0,71.4,176.0,74.5,20805.5,9.7,41.899208,-87.6265,"(41.89920885, -87.62650606)",14.820507,1652.8448,0.6931472,1.0,18.630657,11106.978855656474,17.190386,5405.61415567186,4.2822065,8.449852,5.17615,13.2664995,4.3241324,8.631338,5.220356,13.56466,9.943021,144.24112,3.1144824,False,True
Jan,Submitted Data,3.5,False,NEAR SOUTH SIDE,311326.0,1966.0,80.1,117.8,82.9,1617.4,6.2,41.853985,-87.63008,"(41.853983, -87.630083)",12.648599,557.96594,1.0986123,1.4142135,15.423706,2234.679619095319,16.574083,3972.064299580257,4.395683,8.949861,4.7774415,10.853571,4.4296255,9.104943,4.798267,10.968136,7.389193,40.21691,2.48998,False,True
Jan,Submitted Data,3.5,False,Loop,199600.0,1979.0,64.7,131.0,68.7,1155.2,7.1,41.86821,-87.62733,"(41.8682103, -87.62733)",12.204076,446.76614,0.6931472,1.0,15.577063,2412.7707516463306,15.350895,2154.786926821304,4.185099,8.043631,4.882802,11.445523,4.2442,8.288547,4.9473405,11.823705,7.052894,33.98823,2.6645825,False,True
Jan,Submitted Data,1.0,False,ROGERS PARK,77004.0,1976.0,223.3,333.4,238.0,1184.6,17.7,42.01036,-87.6683,"(42.01036185, -87.66829765)",11.251626,277.49594,0.6931472,1.0,15.147068,1946.0046505597047,16.229261,3343.0237809504138,5.4129844,14.943226,5.812338,18.259245,5.4764633,15.427249,5.853064,18.635986,7.0780044,34.41802,4.2071366,False,True
Jan,Submitted Data,2.0,False,GAGE PARK,64960.0,1926.0,132.3,164.1,142.2,501.7,8.5,41.793827,-87.684326,"(41.79382847, -87.68432907)",11.081542,254.87251,0.6931472,1.0,13.649627,920.4042590079644,15.755078,2637.37467948716,4.8926024,11.502173,5.106551,12.810152,4.9642425,11.924764,5.1676393,13.209845,6.2199936,22.39866,2.9154758,False,True
Jan,Submitted Data,2.5,False,North Center,53800.0,2006.0,78.2,129.2,81.2,768.3,6.9,41.972088,-87.70256,"(41.9720897, -87.70256)",10.893047,231.94827,0.6931472,1.0,14.909127,1727.7296084746597,15.55492,2386.206613015729,4.3719764,8.843077,4.869072,11.366618,4.4091554,9.011105,4.898586,11.536898,6.645481,27.718225,2.626785,False,True
Jan,Submitted Data,4.0,False,DUNNING,93200.0,1918.0,76.0,103.2,86.5,504.4,5.4,41.94895,-87.777855,"(41.94895308, -87.77785435)",11.442513,305.28674,0.6931472,1.0,14.036117,1116.6160933821436,15.578936,2415.032070180436,4.3438053,8.717798,4.646312,10.15874,4.4716387,9.300538,4.7475376,10.691118,6.2253504,22.45885,2.32379,False,True
Jan,Submitted Data,1.0,False,NEAR NORTH SIDE,1975361.0,2001.0,110.2,190.3,111.5,15478.5,10.2,41.891445,-87.6189,"(41.8914469, -87.61889748)",14.496263,1405.4753,0.6931472,1.0,17.98079,8025.62068004712,18.442017,10107.250684533356,4.7113304,10.497619,5.253843,13.794927,4.7229533,10.559356,5.2595763,13.834739,9.647272,124.41262,3.193744,False,True
