Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,False,False,False,True,False,False,False
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,False,False,False,True,False,False,False
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,True,False,False,False,True,True,False
Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,False,False,False,True,False,False,False
Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,False,False,False,True,False,True,False
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,False,False,False,False,True,False,False
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,False,False,False,False,True,False,True
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,False,False,False,False,True,False,False
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,False,False,False,False,True,False,True
Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,False,False,False,True,False,True,False
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,False,False,False,False,True,True,False
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,False,True,False,False,False,True,False
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,False,True,False,False,False,True,False
Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,False,False,False,False,False,True,False
Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,False,False,False,False,True,True,False
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,False,False,False,False,True,True,False
Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,False,False,False,False,True,False,True
