Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalLengthCm_log,SepalLengthCm_sqrt,SepalWidthCm_log,SepalWidthCm_sqrt,PetalLengthCm_log,PetalLengthCm_sqrt,PetalWidthCm_log,PetalWidthCm_sqrt,Species_Iris-versicolor,Species_Iris-virginica
1,0.5,0.3,1.4,0.2,Iris-setosa,0.4054651,0.70710677,0.26236427,0.5477226,0.87546873,1.183216,0.18232156,0.4472136,False,False
2,4.9,3.0,1.4,0.2,Iris-setosa,1.7749523,2.2135944,1.3862944,1.7320508,0.87546873,1.183216,0.18232156,0.4472136,False,False
3,4.7,3.2,1.3,0.2,Iris-setosa,1.7404661,2.1679482,1.4350846,1.7888544,0.8329091,1.1401755,0.18232156,0.4472136,False,False
4,4.6,3.32,1.5,0.2,Iris-setosa,1.7227666,2.144761,1.4632554,1.8220867,0.91629076,1.2247449,0.18232156,0.4472136,False,False
5,5.0,3.6,1.4,0.2,Iris-setosa,1.7917595,2.236068,1.5260563,1.8973666,0.87546873,1.183216,0.18232156,0.4472136,False,False
6,4.5,3.9,1.7,50.4,Iris-setosa,1.704748,2.1213202,1.5892352,1.9748417,0.9932518,1.3038405,3.9396381,7.0992956,False,False
7,1.6,3.4,1.4,0.3,Iris-setosa,0.95551145,1.264911,1.4816046,1.8439089,0.87546873,1.183216,0.26236427,0.5477226,False,False
8,5.0,3.4,1.5,0.2,Iris-setosa,1.7917595,2.236068,1.4816046,1.8439089,0.91629076,1.2247449,0.18232156,0.4472136,False,False
9,4.4,2.9,1.4,0.2,Iris-setosa,1.686399,2.0976176,1.3609766,1.7029387,0.87546873,1.183216,0.18232156,0.4472136,False,False
10,4.9,3.1,1.5,0.1,Iris-setosa,1.7749523,2.2135944,1.410987,1.7606816,0.91629076,1.2247449,0.09531018,0.31622776,False,False
11,5.4,3.7,1.5,0.14,Iris-setosa,1.856298,2.32379,1.5475625,1.9235384,0.91629076,1.2247449,0.13102826,0.37416574,False,False
12,4.8,33.4,1.6,0.2,Iris-setosa,1.7578579,2.1908903,3.5380566,5.7792735,0.95551145,1.264911,0.18232156,0.4472136,False,False
13,4.8,3.0,1.4,0.1,Iris-setosa,1.7578579,2.1908903,1.3862944,1.7320508,0.87546873,1.183216,0.09531018,0.31622776,False,False
