Date,Open
2015-04-01 16:00:00,40.6
2015-04-02 16:00:00,40.66
2015-04-06 16:00:00,40.34
2015-04-07 16:00:00,41.61
2015-04-08 16:00:00,41.48
2015-04-09 16:00:00,41.25
2015-04-10 16:00:00,41.63
,41.4
,41.8
,41.76
,41.95
,41.67
,41.73
,43.0
,42.67
,42.85
,45.66
,47.23
,47.78
,48.72
,48.7
2015-05-01 16:00:00,48.58
2015-05-04 16:00:00,48.37
2015-05-05 16:00:00,47.82
2015-05-06 16:00:00,47.57
2015-05-07 16:00:00,46.27
2015-05-08 16:00:00,47.55
2015-05-11 16:00:00,47.55
2015-05-12 16:00:00,46.85
,48.19
,48.03
,48.87
,47.98
,47.62
,47.39
,47.28
,47.3
,46.83
,46.82
,47.5
,47.43
2015-06-01 16:00:00,47.06
2015-06-02 16:00:00,46.95
2015-06-03 16:00:00,47.37
2015-06-04 16:00:00,46.79
2015-06-05 16:00:00,46.31
2015-06-08 16:00:00,46.3
2015-06-09 16:00:00,45.76
2015-06-10 16:00:00,45.79
2015-06-11 16:00:00,46.66
2015-06-12 16:00:00,46.2
,45.45
,45.35
,45.73
,46.22
,46.79
,46.33
,46.13
,45.68
,46.03
,45.65
,45.04
,44.71
2015-07-01 16:00:00,44.49
2015-07-02 16:00:00,44.48
2015-07-06 16:00:00,43.96
2015-07-07 16:00:00,44.34
2015-07-08 16:00:00,44.44
2015-07-09 16:00:00,44.75
2015-07-10 16:00:00,45.01
,44.98
,45.45
,45.68
,46.01
,46.55
,46.65
,46.78
,45.44
,45.27
,45.91
,45.94
,45.58
,45.4
,46.26
,47.29
2015-08-03 16:00:00,46.98
2015-08-04 16:00:00,46.75
2015-08-05 16:00:00,47.98
2015-08-06 16:00:00,47.71
2015-08-07 16:00:00,46.39
2015-08-10 16:00:00,46.95
2015-08-11 16:00:00,46.82
2015-08-12 16:00:00,46.19
,47.06
,46.53
,46.81
,46.84
,46.78
,46.07
,45.3
,40.45
,42.57
,42.01
,43.23
,43.4
,43.56
2015-09-01 16:00:00,42.17
2015-09-02 16:00:00,42.36
2015-09-03 16:00:00,43.41
2015-09-04 16:00:00,42.81
2015-09-08 16:00:00,43.3
2015-09-09 16:00:00,44.21
2015-09-10 16:00:00,43.12
2015-09-11 16:00:00,43.14
,43.43
,43.19
,43.97
,44.29
,43.5
,43.62
,43.38
,43.93
,43.45
,44.48
,43.83
,43.37
,43.88
2015-10-01 16:00:00,44.75
2015-10-02 16:00:00,44.27
2015-10-05 16:00:00,45.75
2015-10-06 16:00:00,46.33
2015-10-07 16:00:00,47.1
2015-10-08 16:00:00,46.56
2015-10-09 16:00:00,47.45
2015-10-12 16:00:00,46.98
,46.56
,46.65
,47.01
,47.02
,47.42
,47.44
,47.92
,47.53
,52.3
,52.53
,53.99
,53.54
,53.54
,53.32
2015-11-02 16:00:00,52.85
2015-11-03 16:00:00,52.93
2015-11-04 16:00:00,54.18
2015-11-05 16:00:00,54.49
2015-11-06 16:00:00,54.09
2015-11-09 16:00:00,54.55
2015-11-10 16:00:00,54.01
2015-11-11 16:00:00,53.7
2015-11-12 16:00:00,53.48
,53.07
,53.08
,53.17
,53.0
,53.99
,54.25
,54.25
,53.92
,54.09
,53.8
,54.54
2015-12-01 16:00:00,54.41
2015-12-02 16:00:00,55.32
2015-12-03 16:00:00,55.49
2015-12-04 16:00:00,54.12
2015-12-07 16:00:00,55.79
2015-12-08 16:00:00,55.47
2015-12-09 16:00:00,55.37
2015-12-10 16:00:00,55.39
2015-12-11 16:00:00,54.71
,54.33
,55.66
,55.54
,56.36
,55.77
,54.88
,54.99
,55.7
,55.86
,55.35
,56.29
,56.47
,56.04
2016-01-04 16:00:00,54.32
2016-01-05 16:00:00,54.93
2016-01-06 16:00:00,54.32
2016-01-07 16:00:00,52.7
2016-01-08 16:00:00,52.37
2016-01-11 16:00:00,52.51
2016-01-12 16:00:00,52.76
,53.8
,52.0
,51.31
,51.48
,49.98
,51.0
,51.41
,51.94
,51.79
,52.01
,51.86
,54.73
2016-02-01 16:00:00,54.88
2016-02-02 16:00:00,54.17
2016-02-03 16:00:00,53.25
2016-02-04 16:00:00,52.1
2016-02-05 16:00:00,51.94
2016-02-08 16:00:00,49.55
2016-02-09 16:00:00,49.02
2016-02-10 16:00:00,49.89
2016-02-11 16:00:00,48.68
2016-02-12 16:00:00,50.25
,50.9
,51.49
,52.33
,51.97
,52.28
,52.34
,50.69
,51.73
,52.6
,51.35
2016-03-01 16:00:00,50.97
2016-03-02 16:00:00,52.41
2016-03-03 16:00:00,52.97
2016-03-04 16:00:00,52.4
2016-03-07 16:00:00,51.56
2016-03-08 16:00:00,50.8
2016-03-09 16:00:00,51.89
2016-03-10 16:00:00,52.93
2016-03-11 16:00:00,53.0
,52.71
,52.75
,53.45
,54.21
,54.92
,53.25
,53.61
,54.11
,53.84
,54.21
,53.66
,54.93
,54.95
2016-04-01 16:00:00,55.05
2016-04-04 16:00:00,55.43
2016-04-05 16:00:00,55.19
2016-04-06 16:00:00,54.36
2016-04-07 16:00:00,54.87
2016-04-08 16:00:00,54.67
2016-04-11 16:00:00,54.49
2016-04-12 16:00:00,54.37
,55.12
,55.22
,55.3
,55.49
,56.63
,56.29
,55.8
,51.91
,51.78
,52.26
,51.48
,50.62
,49.35
2016-05-02 16:00:00,50.0
2016-05-03 16:00:00,50.34
2016-05-04 16:00:00,49.84
2016-05-05 16:00:00,49.87
2016-05-06 16:00:00,49.92
2016-05-09 16:00:00,50.49
2016-05-10 16:00:00,50.33
2016-05-11 16:00:00,51.13
2016-05-12 16:00:00,51.2
,51.44
,50.8
,51.72
,50.48
,50.47
,50.48
,50.6
,50.7
,51.92
,51.93
,51.92
,52.26
2016-06-01 16:00:00,52.44
2016-06-02 16:00:00,52.64
2016-06-03 16:00:00,52.38
2016-06-06 16:00:00,51.99
2016-06-07 16:00:00,52.24
