Date,Open,Date_year,Date_day,Date_dayofweek
2015-04-01 16:00:00,40.6,2015.0,1.0,2.0
2015-04-02 16:00:00,40.66,2015.0,2.0,3.0
2015-04-06 16:00:00,40.34,2015.0,6.0,0.0
2015-04-07 16:00:00,41.61,2015.0,7.0,1.0
2015-04-08 16:00:00,41.48,2015.0,8.0,2.0
2015-04-09 16:00:00,41.25,2015.0,9.0,3.0
2015-04-10 16:00:00,41.63,2015.0,10.0,4.0
,41.4,0.0,0.0,0.0
,41.8,0.0,0.0,0.0
,41.76,0.0,0.0,0.0
,41.95,0.0,0.0,0.0
,41.67,0.0,0.0,0.0
,41.73,0.0,0.0,0.0
,43.0,0.0,0.0,0.0
,42.67,0.0,0.0,0.0
,42.85,0.0,0.0,0.0
,45.66,0.0,0.0,0.0
,47.23,0.0,0.0,0.0
,47.78,0.0,0.0,0.0
,48.72,0.0,0.0,0.0
,48.7,0.0,0.0,0.0
2015-05-01 16:00:00,48.58,2015.0,1.0,4.0
2015-05-04 16:00:00,48.37,2015.0,4.0,0.0
2015-05-05 16:00:00,47.82,2015.0,5.0,1.0
2015-05-06 16:00:00,47.57,2015.0,6.0,2.0
2015-05-07 16:00:00,46.27,2015.0,7.0,3.0
2015-05-08 16:00:00,47.55,2015.0,8.0,4.0
2015-05-11 16:00:00,47.55,2015.0,11.0,0.0
2015-05-12 16:00:00,46.85,2015.0,12.0,1.0
,48.19,0.0,0.0,0.0
,48.03,0.0,0.0,0.0
,48.87,0.0,0.0,0.0
,47.98,0.0,0.0,0.0
,47.62,0.0,0.0,0.0
,47.39,0.0,0.0,0.0
,47.28,0.0,0.0,0.0
,47.3,0.0,0.0,0.0
,46.83,0.0,0.0,0.0
,46.82,0.0,0.0,0.0
,47.5,0.0,0.0,0.0
,47.43,0.0,0.0,0.0
2015-06-01 16:00:00,47.06,2015.0,1.0,0.0
2015-06-02 16:00:00,46.95,2015.0,2.0,1.0
2015-06-03 16:00:00,47.37,2015.0,3.0,2.0
2015-06-04 16:00:00,46.79,2015.0,4.0,3.0
2015-06-05 16:00:00,46.31,2015.0,5.0,4.0
2015-06-08 16:00:00,46.3,2015.0,8.0,0.0
2015-06-09 16:00:00,45.76,2015.0,9.0,1.0
2015-06-10 16:00:00,45.79,2015.0,10.0,2.0
2015-06-11 16:00:00,46.66,2015.0,11.0,3.0
2015-06-12 16:00:00,46.2,2015.0,12.0,4.0
,45.45,0.0,0.0,0.0
,45.35,0.0,0.0,0.0
,45.73,0.0,0.0,0.0
,46.22,0.0,0.0,0.0
,46.79,0.0,0.0,0.0
,46.33,0.0,0.0,0.0
,46.13,0.0,0.0,0.0
,45.68,0.0,0.0,0.0
,46.03,0.0,0.0,0.0
,45.65,0.0,0.0,0.0
,45.04,0.0,0.0,0.0
,44.71,0.0,0.0,0.0
