Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
2015-04-01 16:00:00,40.6,2015.0,4.0,1.0,2.0,2.0
2015-04-02 16:00:00,40.66,2015.0,4.0,2.0,3.0,2.0
2015-04-06 16:00:00,40.34,2015.0,4.0,6.0,0.0,2.0
2015-04-07 16:00:00,41.61,2015.0,4.0,7.0,1.0,2.0
2015-04-08 16:00:00,41.48,2015.0,4.0,8.0,2.0,2.0
2015-04-09 16:00:00,41.25,2015.0,4.0,9.0,3.0,2.0
2015-04-10 16:00:00,41.63,2015.0,4.0,10.0,4.0,2.0
Unknown,41.4,0.0,0.0,0.0,0.0,0.0
Unknown,41.8,0.0,0.0,0.0,0.0,0.0
Unknown,41.76,0.0,0.0,0.0,0.0,0.0
Unknown,41.95,0.0,0.0,0.0,0.0,0.0
Unknown,41.67,0.0,0.0,0.0,0.0,0.0
Unknown,41.73,0.0,0.0,0.0,0.0,0.0
Unknown,43.0,0.0,0.0,0.0,0.0,0.0
Unknown,42.67,0.0,0.0,0.0,0.0,0.0
Unknown,42.85,0.0,0.0,0.0,0.0,0.0
Unknown,45.66,0.0,0.0,0.0,0.0,0.0
Unknown,47.23,0.0,0.0,0.0,0.0,0.0
Unknown,47.78,0.0,0.0,0.0,0.0,0.0
Unknown,48.72,0.0,0.0,0.0,0.0,0.0
Unknown,48.7,0.0,0.0,0.0,0.0,0.0
2015-05-01 16:00:00,48.58,2015.0,5.0,1.0,4.0,2.0
2015-05-04 16:00:00,48.37,2015.0,5.0,4.0,0.0,2.0
2015-05-05 16:00:00,47.82,2015.0,5.0,5.0,1.0,2.0
2015-05-06 16:00:00,47.57,2015.0,5.0,6.0,2.0,2.0
2015-05-07 16:00:00,46.27,2015.0,5.0,7.0,3.0,2.0
2015-05-08 16:00:00,47.55,2015.0,5.0,8.0,4.0,2.0
2015-05-11 16:00:00,47.55,2015.0,5.0,11.0,0.0,2.0
2015-05-12 16:00:00,46.85,2015.0,5.0,12.0,1.0,2.0
Unknown,48.19,0.0,0.0,0.0,0.0,0.0
Unknown,48.03,0.0,0.0,0.0,0.0,0.0
Unknown,48.87,0.0,0.0,0.0,0.0,0.0
Unknown,47.98,0.0,0.0,0.0,0.0,0.0
Unknown,47.62,0.0,0.0,0.0,0.0,0.0
Unknown,47.39,0.0,0.0,0.0,0.0,0.0
Unknown,47.28,0.0,0.0,0.0,0.0,0.0
