Profit,Quantity_sqrt,Quantity,Discount,Sales
41.9136,1.4142135,2,0.0,261.96
219.582,1.7320508,3,0.0,731.94
6.8714,1.4142135,2,0.0,14.62
-383.031,2.236068,5,0.45,957.5775
2.5164,1.4142135,2,0.2,22.368
14.1694,2.6457512,7,0.0,48.86
1.9656,2.0,4,0.0,7.28
90.7152,2.4494898,6,0.2,907.152
5.7825,1.7320508,3,0.2,18.504
34.47,2.236068,5,0.0,114.9
85.3092,3.0,9,0.2,1706.184
68.3568,2.0,4,0.2,911.424
5.4432,1.7320508,3,0.2,15.552
132.5922,1.7320508,3,0.2,407.976
-123.858,2.236068,5,0.8,68.81
-3.816,1.7320508,3,0.8,2.544
13.3176,2.4494898,6,0.0,665.88
9.99,1.4142135,2,0.0,55.5
2.4824,1.4142135,2,0.0,8.56
16.011,1.7320508,3,0.2,213.48
7.384,2.0,4,0.2,22.72
5.0596,2.6457512,7,0.0,19.46
15.6884,2.6457512,7,0.0,60.34
-1.0196,1.4142135,2,0.3,71.372
240.2649,1.7320508,3,0.0,1044.63
4.2224,1.4142135,2,0.2,11.648
11.7741,1.7320508,3,0.0,90.57
-1665.0522,2.6457512,7,0.5,3083.43
-7.0532,1.4142135,2,0.7,9.618
15.525,1.7320508,3,0.2,124.2
1.1016,1.4142135,2,0.2,3.264
9.7092,2.4494898,6,0.2,86.304
-5.715,2.4494898,6,0.7,6.858
3.546,1.4142135,2,0.2,15.76
9.9468,1.7320508,3,0.2,29.472
123.4737,2.6457512,7,0.2,1097.544
-147.963,2.236068,5,0.6,190.92
35.415,3.0,9,0.2,113.328
-46.9764,1.7320508,3,0.32,532.3992
-15.147,1.7320508,3,0.3,212.058
41.7564,2.0,4,0.2,371.168
16.5564,2.0,4,0.2,147.168
3.894,1.4142135,2,0.0,77.88
9.5616,1.4142135,2,0.2,95.616
19.7714,1.4142135,2,0.0,45.98
8.2062,1.4142135,2,0.0,17.46
8.4784,2.0,4,0.0,211.96
4.95,1.7320508,3,0.0,45.0
6.104,1.4142135,2,0.0,21.8
17.9634,2.4494898,6,0.0,38.22
35.3346,2.4494898,6,0.0,75.18
2.9568,1.4142135,2,0.0,6.16
17.0981,1.0,1,0.0,89.99
6.2566,2.6457512,7,0.0,15.26
298.6855,2.236068,5,0.0,1029.95
52.14,2.4494898,6,0.0,208.56
15.552,2.236068,5,0.0,32.4
7.098,2.236068,5,0.1,319.41
6.9888,1.4142135,2,0.0,14.56
3.3,1.4142135,2,0.0,30.0
16.362,2.0,4,0.2,48.48
0.84,1.0,1,0.0,1.68
6.1512,1.4142135,2,0.0,13.98
9.3612,2.4494898,6,0.2,25.824
68.9631,1.7320508,3,0.0,146.73
22.3328,2.0,4,0.0,79.76
-15.2225,2.236068,5,0.3,213.115
111.3024,2.828427,8,0.2,1113.024
62.988,2.0,4,0.2,167.968
35.6636,1.4142135,2,0.0,75.88
1.731,1.0,1,0.2,4.616
