Sex,Fare,Ticket,Pclass,SibSp_sqrt,Survived
male,7.25,A/5 21171,3,1.0,0
female,71.2833,PC 17599,1,1.0,1
female,7.925,STON/O2. 3101282,3,0.0,1
female,53.1,113803,1,1.0,1
male,8.05,373450,3,0.0,0
male,8.4583,330877,3,0.0,0
male,51.8625,17463,1,0.0,0
male,21.075,349909,3,1.7320508,0
female,11.1333,347742,3,0.0,1
female,30.0708,237736,2,1.0,1
female,16.7,PP 9549,3,1.0,1
female,26.55,113783,1,0.0,1
male,8.05,A/5. 2151,3,0.0,0
male,31.275,347082,3,1.0,0
female,7.8542,350406,3,0.0,0
female,16.0,248706,2,0.0,1
male,29.125,382652,3,2.0,0
male,13.0,244373,2,0.0,1
female,18.0,345763,3,1.0,0
female,7.225,2649,3,0.0,1
male,26.0,239865,2,0.0,0
male,13.0,248698,2,0.0,1
female,8.0292,330923,3,0.0,1
male,35.5,113788,1,0.0,1
female,21.075,349909,3,1.7320508,0
female,31.3875,347077,3,1.0,1
male,7.225,2631,3,0.0,0
male,263.0,19950,1,1.7320508,0
female,7.8792,330959,3,0.0,1
male,7.8958,349216,3,0.0,0
male,27.7208,PC 17601,1,0.0,0
female,146.5208,PC 17569,1,1.0,1
female,7.75,335677,3,0.0,1
male,10.5,C.A. 24579,2,0.0,0
male,82.1708,PC 17604,1,1.0,0
male,52.0,113789,1,1.0,0
male,7.2292,2677,3,0.0,1
male,8.05,A./5. 2152,3,0.0,0
female,18.0,345764,3,1.4142135,0
female,11.2417,2651,3,1.0,1
female,9.475,7546,3,1.0,0
female,21.0,11668,2,1.0,0
male,7.8958,349253,3,0.0,0
female,41.5792,SC/Paris 2123,2,1.0,1
female,7.8792,330958,3,0.0,1
male,8.05,S.C./A.4. 23567,3,0.0,0
male,15.5,370371,3,1.0,0
female,7.75,14311,3,0.0,1
male,21.6792,2662,3,1.4142135,0
female,17.8,349237,3,1.0,0
male,39.6875,3101295,3,2.0,0
male,7.8,A/4. 39886,3,0.0,0
female,76.7292,PC 17572,1,1.0,1
female,26.0,2926,2,1.0,1
male,61.9792,113509,1,0.0,0
male,35.5,19947,1,0.0,1
female,10.5,C.A. 31026,2,0.0,1
male,7.2292,2697,3,0.0,0
female,27.75,C.A. 34651,2,1.0,1
male,46.9,CA 2144,3,2.236068,0
male,7.2292,2669,3,0.0,0
female,80.0,113572,1,0.0,1
male,83.475,36973,1,1.0,0
male,27.9,347088,3,1.7320508,0
male,27.7208,PC 17605,1,0.0,0
male,15.2458,2661,3,1.0,1
female,10.5,C.A. 29395,2,0.0,1
male,8.1583,S.P. 3464,3,0.0,0
female,7.925,3101281,3,2.0,1
male,8.6625,315151,3,1.4142135,0
male,10.5,C.A. 33111,2,0.0,0
female,46.9,CA 2144,3,2.236068,0
male,73.5,S.O.C. 14879,2,0.0,0
male,14.4542,2680,3,1.0,0
male,56.4958,1601,3,0.0,1
male,7.65,348123,3,0.0,0
male,7.8958,349208,3,0.0,0
male,8.05,374746,3,0.0,0
male,29.0,248738,2,0.0,1
female,12.475,364516,3,0.0,1
male,9.0,345767,3,0.0,0
male,9.5,345779,3,0.0,1
female,7.7875,330932,3,0.0,1
male,47.1,113059,1,0.0,0
female,10.5,SO/C 14885,2,0.0,1
female,15.85,3101278,3,1.7320508,1
male,34.375,W./C. 6608,3,1.0,0
male,8.05,SOTON/OQ 392086,3,0.0,0
female,263.0,19950,1,1.7320508,1
male,8.05,343275,3,0.0,0
male,8.05,343276,3,0.0,0
male,7.8542,347466,3,0.0,0
male,61.175,W.E.P. 5734,1,1.0,0
male,20.575,C.A. 2315,3,1.0,0
male,7.25,364500,3,0.0,0
male,8.05,374910,3,0.0,0
male,34.6542,PC 17754,1,0.0,0
male,63.3583,PC 17759,1,0.0,1
female,23.0,231919,2,0.0,1
male,26.0,244367,2,1.0,0
female,7.8958,349245,3,0.0,0
male,7.8958,349215,3,0.0,0
male,77.2875,35281,1,0.0,0
male,8.6542,7540,3,0.0,0
male,7.925,3101276,3,1.4142135,0
male,7.8958,349207,3,0.0,0
female,7.65,343120,3,0.0,1
male,7.775,312991,3,0.0,1
male,7.8958,349249,3,0.0,0
female,24.15,371110,3,1.0,1
male,52.0,110465,1,0.0,0
female,14.4542,2665,3,1.0,0
male,8.05,324669,3,0.0,0
female,9.825,4136,3,1.0,0
female,14.4583,2627,3,0.0,0
male,7.925,STON/O 2. 3101294,3,0.0,0
male,7.75,370369,3,0.0,0
male,21.0,11668,2,1.0,0
male,247.5208,PC 17558,1,0.0,0
female,31.275,347082,3,2.0,0
male,73.5,S.O.C. 14879,2,1.4142135,0
male,8.05,A4. 54510,3,0.0,0
male,30.0708,237736,2,1.0,0
female,13.0,27267,2,0.0,1
male,77.2875,35281,1,0.0,0
male,11.2417,2651,3,1.0,1
male,7.75,370372,3,0.0,0
male,7.1417,C 17369,3,0.0,1
female,22.3583,2668,3,1.0,1
male,6.975,347061,3,0.0,0
male,7.8958,349241,3,0.0,0
male,7.05,SOTON/O.Q. 3101307,3,0.0,0
female,14.5,A/5. 3337,3,1.0,0
female,26.0,228414,2,1.0,1
male,13.0,C.A. 29178,2,0.0,0
male,15.0458,SC/PARIS 2133,2,0.0,0
female,26.2833,11752,1,0.0,1
male,53.1,113803,1,1.0,0
male,9.2167,7534,3,0.0,0
male,79.2,PC 17593,1,0.0,0
female,15.2458,2678,3,0.0,0
female,7.75,347081,3,0.0,1
female,15.85,STON/O2. 3101279,3,1.0,1
male,6.75,365222,3,0.0,0
male,11.5,231945,2,0.0,0
male,36.75,C.A. 33112,2,1.0,0
male,7.7958,350043,3,0.0,1
female,34.375,W./C. 6608,3,1.4142135,0
male,26.0,230080,2,0.0,0
male,13.0,244310,2,0.0,0
male,12.525,S.O.P. 1166,2,0.0,0
female,66.6,113776,1,1.0,1
male,8.05,A.5. 11206,3,0.0,0
male,14.5,A/5. 851,3,0.0,0
male,7.3125,Fa 265302,3,0.0,0
male,61.3792,PC 17597,1,0.0,0
female,7.7333,35851,3,0.0,1
male,8.05,SOTON/OQ 392090,3,0.0,0
male,8.6625,315037,3,0.0,0
male,69.55,CA. 2343,3,2.828427,0
male,16.1,371362,3,0.0,0
female,15.75,C.A. 33595,2,0.0,1
male,7.775,347068,3,0.0,0
male,8.6625,315093,3,0.0,0
male,39.6875,3101295,3,2.0,0
male,20.525,363291,3,0.0,1
female,55.0,113505,1,0.0,1
female,27.9,347088,3,1.0,0
male,25.925,PC 17318,1,0.0,0
male,56.4958,1601,3,0.0,0
male,33.5,111240,1,0.0,0
male,29.125,382652,3,2.0,0
female,11.1333,347742,3,1.0,1
male,7.925,STON/O 2. 3101280,3,0.0,0
male,30.6958,17764,1,0.0,0
male,7.8542,350404,3,1.0,0
male,25.4667,4133,3,1.7320508,0
female,28.7125,PC 17595,1,0.0,0
male,13.0,250653,2,0.0,0
male,0.0,LINE,3,0.0,0
female,69.55,CA. 2343,3,2.828427,0
male,15.05,SC/PARIS 2131,2,0.0,0
male,31.3875,347077,3,2.0,0
male,39.0,230136,2,1.4142135,1
female,22.025,315153,3,0.0,1
male,50.0,113767,1,0.0,0
female,15.5,370365,3,1.0,1
male,26.55,111428,1,0.0,1
male,15.5,364849,3,1.0,0
male,7.8958,349247,3,0.0,0
female,13.0,234604,2,0.0,1
male,13.0,28424,2,0.0,0
female,7.8542,350046,3,1.0,1
male,26.0,230080,2,1.0,1
female,27.7208,PC 17610,1,0.0,1
female,146.5208,PC 17569,1,0.0,1
male,7.75,368703,3,0.0,0
male,8.4042,4579,3,0.0,0
female,7.75,370370,3,0.0,1
female,13.0,248747,2,0.0,0
male,9.5,345770,3,0.0,0
male,69.55,CA. 2343,3,2.828427,0
male,6.4958,3101264,3,0.0,0
male,7.225,2628,3,0.0,0
male,8.05,A/5 3540,3,0.0,1
female,10.4625,347054,3,0.0,0
male,15.85,3101278,3,1.0,0
male,18.7875,2699,3,0.0,1
female,7.75,367231,3,0.0,1
male,31.0,112277,1,0.0,1
male,7.05,SOTON/O.Q. 3101311,3,0.0,0
female,21.0,F.C.C. 13528,2,0.0,1
male,7.25,A/5 21174,3,0.0,0
male,13.0,250646,2,0.0,0
male,7.75,367229,3,1.0,0
female,113.275,35273,1,1.0,1
female,7.925,STON/O2. 3101283,3,0.0,1
male,27.0,243847,2,1.0,0
female,76.2917,11813,1,0.0,1
male,10.5,W/C 14208,2,0.0,0
