Product ID,Product Name,Category,Category_Office Supplies,Category_Technology,Discount_sqrt,Sales_log,Sales_sqrt,Sales,Discount,Sub-Category
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,False,False,0.0,5.572001929355964,16.18517840494815,261.96,0.0,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,False,False,0.0,6.597063843147503,27.05438966230804,731.94,0.0,Chairs
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,True,False,0.0,2.74855214441154,3.823610858861032,14.62,0.0,Labels
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,False,False,0.6708203932499369,6.86545041472046,30.944749150704062,957.5775,0.45,Tables
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,True,False,0.4472135954999579,3.15136756508544,4.729482001234384,22.368,0.2,Storage
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,False,False,0.0,3.909219078095412,6.989992846920518,48.86,0.0,Furnishings
OFF-AR-10002833,Newell 322,Office Supplies,True,False,0.0,2.1138429683971687,2.6981475126464085,7.28,0.0,Art
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,False,True,0.4472135954999579,6.8114117654723865,30.118964125613616,907.152,0.2,Phones
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,True,False,0.4472135954999579,2.970619572738916,4.301627598944381,18.504,0.2,Binders
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,True,False,0.0,4.752727750345706,10.719141756689291,114.9,0.0,Appliances
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,False,False,0.4472135954999579,7.442600508432343,41.30598019657686,1706.184,0.2,Tables
TEC-PH-10002033,Easy-staple paper,Technology,False,True,0.4472135954999579,6.816104794316803,30.18979960185228,911.424,0.2,Phones
OFF-PA-10002365,Xerox 1967,Office Supplies,True,False,0.4472135954999579,2.8065069404432417,3.943602414037196,15.552,0.2,Paper
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,True,False,0.4472135954999579,6.013656474614479,20.19841577946152,407.976,0.2,Binders
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,True,False,0.8944271909999159,4.24577726598231,8.295179322956196,68.81,0.8,Appliances
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,True,False,0.8944271909999159,1.2652560327428346,1.594992162990151,2.544,0.8,Binders
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,True,False,0.0,6.502610119684893,25.80465074361597,665.88,0.0,Storage
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,True,False,0.0,4.034240638152395,7.44983221287567,55.5,0.0,Storage
OFF-AR-10003056,Newell 341,Office Supplies,True,False,0.0,2.25758772706331,2.925747767665559,8.56,0.0,Art
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,False,True,0.4472135954999579,5.368216493927704,14.610954794263105,213.48,0.2,Phones
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,True,False,0.4472135954999579,3.1663185741295248,4.766550115125193,22.72,0.2,Binders
OFF-AR-10000246,Newell 318,Office Supplies,True,False,0.0,3.0184717605234805,4.411349000022556,19.46,0.0,Art
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,True,False,0.0,4.116432158686106,7.767882594375381,60.34,0.0,Appliances
