GHG Intensity (kg CO2e/sq ft)_sqrt,GHG Intensity (kg CO2e/sq ft),Reporting Status,Reporting Status_Submitted Data,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft),Chicago Energy Rating
4.2544093,18.1,Submitted Data,True,18.163149,5.801816,5.7825937,17.988886,323.6,2.0
2.792848,7.8,Submitted Data,True,12.275992,5.021905,4.9904327,12.083046,146.0,1.0
2.8635643,8.2,Submitted Data,True,12.320714,5.02913,5.0059576,12.177849,148.3,2.0
2.8982754,8.4,Submitted Data,True,12.441865,5.048573,5.02913,12.320714,151.8,3.0
1.8973666,3.6,Submitted Data,True,8.018728,4.1789923,4.1881385,8.056053,64.9,4.0
3.4058774,11.6,Submitted Data,True,14.587666,5.365041,5.3608227,14.556786,211.9,2.5
2.6191602,6.86,Not Submitted,False,11.499565,4.892152,4.8647614,11.341957,128.64,0.0
3.1144824,9.7,Submitted Data,True,13.56466,5.220356,5.17615,13.2664995,176.0,0.0
2.48998,6.2,Submitted Data,True,10.968136,4.798267,4.7774415,10.853571,117.8,3.5
2.6645825,7.1,Submitted Data,True,11.823705,4.9473405,4.882802,11.445523,131.0,3.5
4.2071366,17.7,Submitted Data,True,18.635986,5.853064,5.812338,18.259245,333.4,1.0
2.9154758,8.5,Submitted Data,True,13.209845,5.1676393,5.106551,12.810152,164.1,2.0
2.626785,6.9,Submitted Data,True,11.536898,4.898586,4.869072,11.366618,129.2,2.5
2.32379,5.4,Submitted Data,True,10.691118,4.7475376,4.646312,10.15874,103.2,4.0
3.193744,10.2,Submitted Data,True,13.834739,5.2595763,5.253843,13.794927,190.3,1.0
2.302173,5.3,Submitted Data,True,10.009995,4.617099,4.607168,9.95992,99.2,4.0
3.6469164,13.3,Submitted Data,True,16.056152,5.5560555,5.4818883,15.469324,239.3,1.0
2.1679482,4.7,Submitted Data,True,9.731393,4.5612183,4.5075574,9.471008,89.7,4.0
2.720294,7.4,Submitted Data,True,12.033287,4.982236,4.933034,11.738825,137.8,2.5
2.4698179,6.1,Submitted Data,True,11.300443,4.8574843,4.7757564,10.844354,117.6,3.0
2.4289916,5.9,Submitted Data,True,10.733127,4.755313,4.7184987,10.535654,111.0,3.0
2.408319,5.8,Submitted Data,True,10.47855,4.707727,4.683057,10.348913,107.1,4.0
2.9154758,8.5,Submitted Data,True,13.149144,5.1584806,5.106551,12.810152,164.1,1.0
2.529822,6.4,Submitted Data,True,10.853571,4.7774415,4.7866583,10.904128,118.9,3.5
2.607681,6.8,Submitted Data,True,11.423659,4.879007,4.8512487,11.26499,126.9,2.0
2.0976176,4.4,Submitted Data,True,9.143304,4.4379344,4.4140096,9.033272,81.6,4.0
4.0620193,16.5,Submitted Data,True,17.592611,5.738184,5.7242384,17.469975,305.2,1.0
2.6457512,7.0,Submitted Data,True,11.497826,4.891852,4.876723,11.4105215,130.2,2.0
1.8165902,3.3,Submitted Data,True,8.0062475,4.175925,4.1494637,7.899367,62.4,4.0
4.3358965,18.8,Submitted Data,True,13.052203,5.1437664,5.9113383,19.188538,368.2,4.0
2.6832817,7.2,Submitted Data,True,11.781342,4.9402127,4.9148583,11.631853,135.3,2.5
2.32379,5.4,Submitted Data,True,10.202941,4.6549125,4.634729,10.099504,102.0,4.0
2.302173,5.3,Submitted Data,True,10.469002,4.70592,4.619073,10.01998,100.4,4.0
2.8635643,8.2,Submitted Data,True,12.565826,5.068275,5.048573,12.441865,154.8,1.5
2.9325757,8.6,Submitted Data,True,12.802343,5.105339,5.085124,12.672806,160.6,4.0
2.345208,5.5,Not Submitted,False,10.371114,4.687303,4.654341,10.2,104.04,0.0
2.513961,6.32,Not Submitted,False,11.1139555,4.824466,4.794136,10.945318,119.8,0.0
2.0,4.0,Submitted Data,True,9.093954,4.427239,4.3579903,8.780661,77.1,0.0
2.720294,7.4,Submitted Data,True,12.091319,4.991792,4.9508853,11.8448305,140.3,2.0
1.5811388,2.5,Submitted Data,True,7.3552704,4.0091496,3.8795,6.8847656,47.4,4.0
3.065942,9.4,Submitted Data,True,13.408952,5.1973915,5.17162,13.236314,175.2,2.0
2.7964263,7.82,Not Submitted,False,12.0995865,4.9931498,4.9634037,11.919731,142.08,0.0
2.810694,7.9,Submitted Data,True,12.39758,5.0414877,5.008633,12.194261,148.7,3.0
2.529822,6.4,Submitted Data,True,11.344603,4.865224,4.8194747,11.086027,122.9,2.5
2.6645825,7.1,Submitted Data,True,11.5931015,4.908233,4.884316,11.454257,131.2,2.0
3.2403703,10.5,Submitted Data,True,14.103191,5.297817,5.2642436,13.867228,192.3,1.0
2.3874674,5.7,Submitted Data,True,10.691118,4.7475376,4.70411,10.459446,109.4,1.5
4.494441,20.2,Submitted Data,True,19.27693,5.9205055,5.9205055,19.27693,371.6,2.0
2.258318,5.1,Submitted Data,True,10.387492,4.69043,4.6259527,10.05485,101.1,4.0
2.738613,7.5,Submitted Data,True,11.903781,4.9607444,4.94307,11.798305,139.2,2.0
2.6683328,7.12,Not Submitted,False,11.73286,4.932025,4.8909507,11.492606,132.08,0.0
2.5690465,6.6,Submitted Data,True,11.423659,4.879007,4.8433995,11.220517,125.9,3.5
3.0331502,9.2,Submitted Data,True,13.194695,5.165357,5.1480756,13.08052,171.1,2.0
2.0976176,4.4,Submitted Data,True,9.121404,4.433195,4.4212475,9.0664215,82.2,4.0
3.224903,10.4,Submitted Data,True,14.103191,5.297817,5.2464976,13.74409,188.9,1.0
2.258318,5.1,Submitted Data,True,9.7262535,4.560173,4.5185223,9.523655,90.7,4.0
2.0736442,4.3,Submitted Data,True,8.966604,4.3993754,4.3993754,8.966604,80.4,4.0
2.626785,6.9,Submitted Data,True,12.016655,4.9794884,4.8744335,11.397368,129.9,1.5
2.660827,7.08,Not Submitted,False,11.713241,4.928702,4.9051266,11.574973,133.98,0.0
5.2249403,27.3,Not Submitted,False,22.009542,6.1850147,6.178774,21.94083,481.4,0.0
3.2093613,10.3,Submitted Data,True,13.957077,5.277094,5.2574954,13.820275,191.0,1.0
5.7183914,32.7,Submitted Data,True,24.706274,6.4157515,6.3964295,24.468348,598.7,3.5
