Date,Open,High,Low,Close,Volume,Volume_log,Volume_sqrt
4/1/2015 16:00:00,40.6,40.76,40.31,40.72,36865322,17.42278191106559,6071.681974543792
4/2/2015 16:00:00,40.66,40.74,40.12,40.29,37487476,17.439517488501366,6122.701691247092
4/6/2015 16:00:00,40.34,41.78,40.18,41.55,39223692,17.484791535441868,6262.88208415263
4/7/2015 16:00:00,41.61,41.91,41.31,41.53,28809375,17.176211447680018,5367.436538982087
4/8/2015 16:00:00,41.48,41.69,41.04,41.42,24753438,17.024474986821335,4975.282705535436
4/9/2015 16:00:00,41.25,41.62,41.25,41.48,25723861,17.062929601582475,5071.869576398825
4/10/2015 16:00:00,41.63,41.95,41.41,41.72,28022002,17.148500580972048,5293.581207462486
4/13/2015 16:00:00,41.4,42.06,41.39,41.76,30276692,17.225888766566598,5502.4260104066825
4/14/2015 16:00:00,41.8,42.03,41.39,41.65,24244382,17.00369551965168,4923.858446381252
4/15/2015 16:00:00,41.76,42.46,41.68,42.26,27343581,17.123992397503287,5229.1090063222055
4/16/2015 16:00:00,41.95,42.34,41.82,42.16,22509652,16.929454797393152,4744.433791296913
4/17/2015 16:00:00,41.67,41.74,41.16,41.62,42387608,17.562366636925553,6510.576625768258
4/20/2015 16:00:00,41.73,43.17,41.68,42.91,46057733,17.64540625444666,6786.58478175879
4/21/2015 16:00:00,43.0,43.15,42.53,42.64,26013844,17.074139454257942,5100.376848822056
4/22/2015 16:00:00,42.67,43.13,42.55,42.99,25064273,17.036954043568453,5006.423174283213
4/23/2015 16:00:00,42.85,43.61,42.8,43.34,46309530,17.650858351003365,6805.110579557102
4/24/2015 16:00:00,45.66,48.14,45.65,47.87,130933665,18.690201386506445,11442.624917386744
4/27/2015 16:00:00,47.23,48.13,47.22,48.03,59248172,17.897245502061054,7697.28341689456
4/28/2015 16:00:00,47.78,49.21,47.7,49.16,60730778,17.921961195059726,7792.995444628465
4/29/2015 16:00:00,48.72,49.31,48.5,49.06,47804562,17.68263165315669,6914.084321152006
4/30/2015 16:00:00,48.7,49.54,48.6,48.64,64725457,17.985665159667995,8045.213297358871
